,
Emissions from combustion of gas (tonnes of COze),33.65
"Emissions from electricity purchased for own use, including for the purposes of

ab hee atnn A",57.54
"Emissions from business travel in rental cars or employee-owned vehicles where
company is responsible for purchasing the fuel (tonnes of COze)",0.63
Total gross COze based on above,91.82
Energy consumption used to calculate emissions (gas) — m°®,"16,637"
