Natural Gas,
Electricity,"45,750,616"
Transpon,"1,028,344"
Total Eneray (kWh,"133,745,841"
,
Emissions (tCO.e,
Natural Gas,
Electricity,"0,666"
Transpor,248
Refrigerant Gas,"7,545"
"Total emissions (tCO,e","34,450"
,
"ntensity metric (tCO,e / Tonnes of Product)",
