2021
Natural Gas,
Electricity,"45,750,616"
"Transport
Total Eneray (kWh","1,028,344"
"133,745,818"
,
Emissions (tCO2e,
Natural Gas,"15,99"
Electricity,
Transport,248
Refrigerant Gas,
Total emissions (tCO2e,"34,450"
,
""
