"Reporting Parameter
Energy consumption used to calculate e emissions"
"Emissions from activities for which the company own or
control including combustion of fuel & operation of
facilities (Scope 1)"
"Emissions from purchase of electricity, heat, steam and
cooling purchased for its own use (Scope 2)"
Total gross Scope 1 & 2
Intensity ratio(s)
Methodology
Energy efficiency action taken
