Utility and Scope,"2020 UK
Consumption
(tCO2e)"
"Grid-Supplied Electricity
(Scope 2)","3,410,091","724,06"
"Gaseous and other fuels
(Scope 1)","221,188",40.51
"Transportation
(Scope 1)","13,384,251","3,150.64"
Tota,"17,015,530","3,915.22"
