Table — Energy Consumption and Emissions 2020
On-site combustion (kWh),"121,999"
Electricity (kWh),"216,022"
Transport (kWh),
Total Energy (kWh),"338,110"
,
Scope 1 Emissions (tCO2e),22.4
Scope 2 Emissions (tCOze),50.4
Seane 3 Emissions (tCOe,0.02
Total Emissions (tCO2e),72.8
Emissions Intensity (tCO2ze/$m revenue),0.30
