REPORTING YEAR 2020
"Scope ‘1 —Fuel use from transport and corbustion of natural
gas/tCOze*","34,969"
"Scope 2.— Emissions resulting from the purchase of electricity,
including heat, steam; or cooling (location based)/tCOze",
"Scope 3 — Emissions from business travel in rental cars or
employee-owned vehicles where the company is responsible for
purchasing the fuel/tCOze",
Total gross emissions/tCOze,"35,253"
tCO2e per full time equivalent employees,
Energy consumption used to calculate the above emissions / kWh,"141,238,693"
