,FY21,FY20,FY19
,KWh,"Metric
tonnes
COze",KWh,"Metric
tonnes
COze",KWh,"Metric
tonnes
cOze"
Scope 1,"172,964.90",31.80,"150,491.30",38.65,"140,849.90",46.04
Scope 2,"609,872.80",142.18,"708,474.40",181.08,"859,273.20",243.23
Scope 3,"162,800.00",353.00,"572,067.10",638.98,"Not
measured",612.82
Total,"945,637.70",526.98,"1,431,032.80",858.71,"1,000,123.10",902.09
