,
Emissions from combustion of gas (tonnes of CO2e),33.65
"Emissions from electricity purchased for own use, including for the purposes of
transport (tonnes of CO2e)",57.54
"Emissions from business travel in rental cars or employee-owned vehicles where

company is responsible for purchasing the fuel (tonnes of CO2e)
Total gross COze based on above",0.63
91.82
Energy consumption used to calculate emissions (gas) — m*,"16,637"
"227,243"
