,,,
"Scope 1
Direct emissions: e.g. from combustion
of gas and fuel for transport us","2,144","2,279"
tCO2e Emitted,"Scope 2
Indirect emissions: e.g. from purchased
electricity",728,735
"Scope 3

Other indirect consequences i.e. not
owned or controlled by the Company and
not falling within Scope 2",,
Scope 1+2,"2,872","3,014"
,,,
