7817963,,,,,,,
4992207,2018,,,,,,
IE471706,,,,,,,AccountsNotFoundError
4083914,,,,,,,
519500,,,,,,,FailedToExtractDataError
445790,2021,,,,,,
IE256796,,,,,,,AccountsNotFoundError
JE107710,,,,,,,AccountsNotFoundError
8680755,,,,,,,AccountsNotFoundError
41424,,,,,,,
1396513,,,,,,,
464777,,,,,,,FailedToExtractDataError
4138203,,,,,,,FailedToExtractDataError
JE111714,,,,,,,AccountsNotFoundError
366054,,,,,,,FailedToExtractDataError
293262,,,,,,,
358949,,,,,,,
185647,,,,,,,
JE101749,,,,,,,AccountsNotFoundError
IE056386,,,,,,,AccountsNotFoundError
IE545333,,,,,,,AccountsNotFoundError
4190816,,,,,,,AccountsNotFoundError
8286875,,,,,,,FailedToExtractDataError
1833679,,,,,,,
3888792,,,,,,,
3407696,,,,,,,AccountsNotFoundError
SC157176,,,,,,,FailedToExtractDataError
133143,2021,30058,6950,162,,,
4366849,,,,,,,
1470151,,,,,,,
233462,,,,,,,FailedToExtractDataError
238937,,,,,,,
432511,2021,2040,,2040,,,
542515,,,,,,,AccountsNotFoundError
1664812,,,,,,,AccountsNotFoundError
2779134,,,,,,,AccountsNotFoundError
IE012965,,,,,,,AccountsNotFoundError
29559,,,,,,,AccountsNotFoundError
IE584907,,,,,,,AccountsNotFoundError
2723534,,,,,,,AccountsNotFoundError
IE602527,,,,,,,AccountsNotFoundError
214436,,,,,,,cannot open empty document
4256886,,,,,,,cannot open empty document
102498,,,,,,,AccountsNotFoundError
7784342,,,,,,,cannot open empty document
#0070837,,,,,,,AccountsNotFoundError
IP00525R,,,,,,,AccountsNotFoundError
#0070546,,,,,,,AccountsNotFoundError
1298292,,,,,,,cannot open empty document
3564138,,,,,,,cannot open empty document
2081330,,,,,,,cannot open empty document
2114954,,,,,,,cannot open empty document
99405,,,,,,,cannot open empty document
SC019230,,,,,,,cannot open empty document
2590560,,,,,,,cannot open empty document
9800044,,,,,,,cannot open empty document
1003142,,,,,,,cannot open empty document
7524813,,,,,,,cannot open empty document
719885,,,,,,,cannot open empty document
IE433527,,,,,,,AccountsNotFoundError
IE475616,,,,,,,AccountsNotFoundError
IE604607,,,,,,,AccountsNotFoundError
12443736,,,,,,,cannot open empty document
2048608,,,,,,,cannot open empty document
1403668,,,,,,,cannot open empty document
9826582,,,,,,,cannot open empty document
4267576,,,,,,,cannot open empty document
5393279,,,,,,,cannot open empty document
2904587,,,,,,,cannot open empty document
